Site Name,Site Abbreviation,Center Longitude,Center Latitude
Hat Creek Observatory,HCO,-121.47,40.8
Capitol Reef Field Station,CFS,-111.18,38.18527
Bridger,BRG,-108.92,45.29838
Eastern Iowa Observatory,EIO,-91.499,41.88884
Millstone Hill Observatory,MHO,-71.484,42.61191
Pisgah Astronomical Observatory,PSG,-82.874,35.20115
Rainwater Observatory,RWR,-89.386,33.29205
Madison,MDS,-96.094047,38.11792
McDonald Observatory,MDO,-104.023,30.6714
Lowell Observatory,LWL,,
Bear Lake Observatory,BLO,,
