# /Users/clevenger/Projects/mango/mango_data/newport/cal/mango-new-greenline-20240414-064600.hdf5
# Name         Azimuth     Elevation    X        Y

59774    348.75003018517265    81.15963832320926    393.3392857142858    215.52532467532467
53910    309.5161862266634    74.71098197444924    413.223051948052    243.49740259740258
62956    25.2398324959215    81.46236497588237    373.45551948051957    201.37077922077924
67301    78.51045987973959    76.93065380993872    337.05811688311695    185.86818181818182
57399    268.8624843483752    82.96379925760532    373.1185064935065    250.9116883116883
50801    264.4337923432691    66.89513437419365    382.21785714285716    276.18766233766235
71075    102.71816890686539    65.51720779951788    289.53928571428577    170.3655844155844
69673    133.93394713580125    53.592929826868435    225.50681818181823    206.76298701298703
67927    142.0879758210284    55.23542399279369    230.56201298701302    226.98376623376623
65474    163.8943138141889    29.108043956930388    155.74512987012992    307.1928571428571
63090    170.30356861761499    44.61028780368565    210.3412337662338    307.1928571428571
63608    166.33545656359468    51.88429861695199    228.8769480519481    284.95
49669    230.4508565261025    43.43863601661897    349.19058441558445    398.8603896103896
68756    30.170679935854437    69.45096496044344    388.284090909091    160.25519480519483
72607    18.59142808695914    60.07080121813877    419.9633116883117    138.01233766233764
74793    24.587325800471937    59.73908420654857    409.85292207792213    130.261038961039
11767    359.4227880686907    47.76487694417513    481.97370129870137    138.68636363636364
80331    45.61983755507753    55.125628210969246    375.1405844155845    102.28896103896102
75458    50.84490451117472    62.38113609609873    361.997077922078    128.23896103896107
